Player,Team,Jersey Number,PPG,FG%,3P%,RPG,APG,Date
LeBron James,LAL,23,25.5,49.6,35,7.8,10.6,3/3/2020 11:36
Anthony Davis,LAL,3,26.4,50.9,32.4,9.4,3.3,3/3/2020 11:36
Giannis Antetokounmpo,MIL,34,29.9,55.4,31.6,13.8,5.8,3/3/2020 11:36
Khris Middleton,MIL,22,21.1,50.8,43.8,6.3,4.2,3/3/2020 11:36
James Harden,HOU,13,34.9,44,36,6.4,7.3,3/3/2020 11:36
Russell Westrbook,HOU,0,27.6,47.3,25.1,7.9,7.2,3/3/2020 11:36
Jayson Tatum,BOS,0,23.5,45,39.6,7.1,2.9,3/3/2020 11:36
Kemba Walker,BOS,8,21.8,42.9,38.8,4.1,5,3/3/2020 11:36
Jaylen Brown,BOS,7,20.4,49.1,38.2,6.4,2.2,3/3/2020 11:36
Nikola Jokic,DEN,15,20.9,53.3,32.9,10.2,6.8,3/3/2020 11:36
Jamal Murray,DEN,27,18.8,45.8,35.1,3.8,4.8,3/3/2020 11:36
Paul George,LAC,13,21.2,42.9,40.1,5.8,3.8,3/3/2020 11:36
Kawhi Leonard,LAC,2,27,45.6,36.6,7.5,5.2,3/3/2020 11:36
Domantas Sabonis,IND,11,18.4,54.1,23,12.5,4.9,3/3/2020 11:36
Malcom Brogdon,IND,7,16.4,43.7,31.2,4.7,7.3,3/3/2020 11:36
Joel Embiid,PHI,21,23.3,47.2,34.2,11.8,3.1,3/3/2020 11:36
Tobias Harris,PHI,12,19.2,47.5,36.5,6.7,3.1,3/3/2020 11:36
Luka Doncic,DAL,77,28.6,46.3,31.9,9.4,8.8,3/3/2020 11:36
Kristaps Porzingis ,DAL,6,19.2,42.4,35.8,9.4,1.6,3/3/2020 11:36
Bradley Beal,WAS,3,30.4,45.8,34.4,4.3,6.1,3/3/2020 11:36
D'Angelo Russell,MIN,0,23.6,43.2,37.5,3.9,6.5,3/3/2020 11:36
Nikola Vucevic,ORL,9,19.1,46.4,32.6,10.8,3.7,3/3/2020 11:36
Ja Morant,MEM,12,17.7,49.2,35.2,3.4,7,3/3/2020 11:36
Zion Williamson,NOP,1,24.1,59.3,41.7,6.8,2.1,3/3/2020 11:36
